Tiempo,Temperatura,Humedad,Masa
26.08,18,60,-0.02
26.18,18,60,-0.01
26.29,18,60,0.02
26.39,18,60,-0.1
26.49,18,60,-0.04
26.59,18,60,-0.11
26.7,18,60,0.08
26.8,18,60,-0.11
26.9,18,60,0.04
27.03,18,60,0.11
27.13,18,60,0.08
27.23,18,60,-0.06
27.33,18,60,-0.11
27.44,18,60,-0.24
27.54,18,60,-0.04
27.64,18,60,-0.07
27.74,18,60,0.03
27.85,18,60,0.05
27.95,18,60,-0.12
28.05,18,60,0.01
28.15,18,60,0.3
28.26,18,60,0.23
28.36,18,60,-0.04
28.46,18,60,-0.03
28.56,18,60,0.12
28.67,18,60,0.03
28.77,18,60,0.16
28.87,18,60,-0.11
28.97,18,60,0.3
29.1,18,60,-0.05
29.2,18,60,-0.17
29.3,18,60,-0.19
29.4,18,60,-0.13
29.51,18,60,-0.01
29.61,18,60,0.14
29.71,18,60,0.14
29.81,18,60,0.08
29.92,18,60,0.12
30.02,18,60,0.05
30.12,18,60,0.14
30.22,18,60,0.24
30.33,18,60,0.4
30.43,18,60,0.06
30.53,18,60,0.05
30.63,18,60,-0.04
30.74,18,60,-0.19
30.84,18,60,-0.12
30.94,18,60,-0.21
31.04,18,60,0.17
31.17,18,60,0.02
31.27,18,60,-0.13
31.37,18,60,-0.15
31.47,18,60,0.05
31.58,18,60,0.26
31.68,18,60,0.05
31.78,18,60,-0.05
31.88,18,60,0.22
31.99,18,60,0.09
32.09,18,60,-0.07
32.19,18,60,-0.08
32.29,18,60,0.08
32.4,18,60,0.02
32.5,18,60,0.11
32.6,18,60,0
32.7,18,60,-0.19
32.81,18,60,-0.17
32.91,18,60,-0.21
33.01,18,60,-0.06
33.11,18,60,-0.24
33.24,18,60,-0.51
33.34,18,60,-0.17
33.44,18,60,-0.07
33.54,18,60,-0.12
33.65,18,60,-0.18
33.75,18,60,0.01
33.85,18,60,-0.03
33.95,18,60,0.02
34.06,18,60,-0.11
34.16,18,60,-0.33
34.26,18,60,-0.34
34.36,18,60,-0.15
34.47,18,60,0.03
34.57,18,60,-0.2
34.67,18,60,-0.36
34.77,18,60,-0.33
34.88,18,60,-0.42
34.98,18,60,-0.31
35.08,18,60,-0.55
35.18,18,60,-0.27
35.31,18,60,-0.45
35.41,18,60,-0.28
35.51,18,60,-0.33
35.61,18,60,-0.2
35.72,18,60,-0.51
35.82,18,60,-0.53
35.92,18,60,-0.24
36.02,18,60,-0.16
36.13,18,60,-0.18
36.23,18,60,-0.23
36.33,18,60,-0.18
36.43,18,60,0.09
36.54,18,60,-0.09
36.64,18,60,-0.23
36.74,18,60,-0.13
36.84,18,60,-0.08
36.95,18,60,-0.27
37.05,18,60,-0.12
37.15,18,60,-0.01
37.25,18,60,-0.11
37.38,18,60,-0.51
37.48,18,60,-0.51
37.58,18,60,-0.51
37.68,18,60,-0.21
37.79,18,60,-0.31
37.89,18,60,-0.34
37.99,18,60,-0.19
38.09,18,60,-0.08
38.2,18,60,-0.18
38.3,18,60,-0.38
38.4,18,60,-0.13
38.5,18,60,-0.13
38.61,18,60,0.18
38.71,18,60,-0.08
38.81,18,60,-0.37
38.91,18,60,-0.45
39.01,18,60,-0.21
39.12,18,60,-0.3
39.22,18,60,-0.28
39.32,18,60,-0.3
39.45,18,60,-0.24
39.55,18,60,-0.17
39.65,18,60,-0.09
39.75,18,60,-0.17
39.86,18,60,-0.28
39.96,18,60,-0.39
40.06,18,60,-0.24
40.16,18,60,-0.16
40.27,18,60,0.08
40.37,18,60,-0.01
40.47,18,60,-0.19
40.57,18,60,-0.18
40.67,18,60,-0.43
40.78,18,60,-0.48
40.88,18,60,-0.42
40.98,18,60,-0.39
41.08,18,60,-0.3
41.19,18,60,-0.51
41.29,18,60,-0.43
41.39,18,60,-0.36
41.52,18,59,-0.31
41.62,18,59,-0.21
41.72,18,59,-0.53
41.82,18,59,-0.46
41.93,18,59,-0.35
42.03,18,59,-0.56
42.13,18,59,-0.59
42.23,18,59,-0.63
42.34,18,59,-0.54
42.44,18,59,-0.52
42.54,18,59,-0.44
42.64,18,59,-0.3
42.74,18,59,-0.09
42.85,18,59,-0.2
42.95,18,59,-0.45
43.05,18,59,-0.47
43.15,18,59,-0.79
43.26,18,59,-0.73
43.36,18,59,-0.53
43.46,18,59,-0.35
43.59,18,59,-0.64
43.69,18,59,-0.41
43.79,18,59,-0.7
43.89,18,59,-0.82
44,18,59,-0.67
44.1,18,59,-0.23
44.2,18,59,-0.68
44.3,18,59,-0.58
44.4,18,59,-0.41
44.51,18,59,-0.35
44.61,18,59,-0.65
44.71,18,59,-0.47
44.81,18,59,-0.59
44.92,18,59,-0.42
45.02,18,59,-0.71
45.12,18,59,-0.57
45.22,18,59,-0.43
45.33,18,59,-0.44
45.43,18,59,-0.67
45.53,18,59,-0.33
45.65,18,59,-0.5
45.76,18,59,-0.61
45.86,18,59,-0.56
45.96,18,59,-0.47
46.06,18,59,-0.5
46.17,18,59,-0.4
46.27,18,59,-0.24
46.37,18,59,-0.36
46.47,18,59,-0.49
46.58,18,59,-0.53
46.68,18,59,-0.53
46.78,18,59,-0.64
46.88,18,59,-0.53
46.99,18,59,-0.77
47.09,18,59,-0.6
47.19,18,59,-0.31
47.29,18,59,-0.43
47.39,18,59,-0.49
47.5,18,59,-0.52
47.6,18,59,-0.45
47.72,18,59,-0.58
47.83,18,59,-0.87
